job_title,normalized_title,job_description,completed_skills_list,llm_validated_skills_list,llm_removed_skills_list,llm_skill_reasons,recommended_skills_list,recommended_skill_source,llm_keep_rate
Senior Data Scientist,Data Scientist,"Senior / Principal Data Scientist Location: Abu Dhabi, UAE (relocation support provided) Compensation: £120,000–£300,000 total compensation (fully guaranteed, all-in) The Role We are building a centralised data science function inside a quantitative investment platform. This is not an asset-class desk role and not a downstream analytics or reporting position. The team exists to work with large, messy, often unstructured data and determine how that data can and cannot be used in systematic inves…","['python', 'aws', 'azure', 'nlp', 'r', 'pytorch', 'scikit-learn', 'tensorflow']","['python', 'aws', 'nlp', 'r']","['azure', 'pytorch', 'scikit-learn', 'tensorflow']",{},"['python', 'aws', 'nlp', 'r', 'azure']",llm_validated_with_rescue,0.5
Clinical Laboratory Scientist - Chemistry/Urinalysis,Other,"Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. English Language Proficiency: In accordance with 38 U.S.C. 7402(d), no person shall serve in direct patient care positions unless they are proficient in basic written and spoken English. Education: A bachelor's degree or higher from an accredited college or university. Certification: Candidates must meet one of the certification options below: Generalist certification as an MLS given by ASCP BOC or AMT. Generalist certification as an MT given by ASCP BOR or AMT. Categorical certification or Specialist certification by ASCP or AMT. Note: Categorical and specialist certifications are not acceptable for CLS Generalist positions or lab sections unrelated to the categorical or specialist certification held. Categorical or specialist certifications are acceptable for higher-graded positions within the relevant lab section or one of the non-section specific assignments (including, Ancillary Testing Coordinator, Education Coordinator, Laboratory Information Manager, Quality Manager, Laboratory Manager, Regional Technical Specialist, National Quality and Compliance Agent, Regional Program Manager, Regional Director, Laboratory Director, or National Quality and Compliance Officer). Grade Determinations: GS-11 Clinical Laboratory Scientist - Chemistry/Urinalysis Experience or Education: Candidates at this level must meet one of the criteria below: (1) Experience: 1 year of creditable experience equivalent to the next lower grade level (GS-9). Some examples of experience, not limited to, evaluating, performing, interpreting, and validating the accuracy and validity of test results. Demonstrates a clear progression of clinical knowledge and experience by performing testing procedures on a variety of biological specimens using manual or automated methods. his includes routine testing, quality control, routine maintenance of instrumentation, and troubleshooting that applies innovative procedures and problem solving. Deviations from regular procedures, unanticipated problems, and unfamiliar situations are referred to more experienced staff for a decision or assistance. OR (2) Education: Must have 3 full years of progressively higher-level graduate education or a Ph.D. or equivalent doctoral degree in medical technology or a directly related science. (3) Knowledge, Skills, and Abilities: In addition to the experience or education above, you must demonstrate all the following KSAs clearly in your resume: Knowledge of professional clinical laboratory science principles, practices, concepts, and theories that support sound, independent work. Knowledge of laboratory quality control and quality assurance procedures and principles of performance improvement. Skill in informatics, laboratory data flow, and laboratory processes. Ability to maintain, troubleshoot, and repair instrumentation. Ability to use independent technical judgment to analyze and interpret laboratory results. Ability to read, interpret, and apply complex written instructions. Ability to communicate, consult, and interact with other members of the health care team, external relations, customer service, and patient education. Preferred Experience: Greater than 3 years experience in a medium or large medical center. Reference: For more information on this qualification standard, please visit https://www.va.gov/ohrm/QualificationStandards/. The full performance level of this vacancy is GS-11. The actual grade at which an applicant may be selected for this vacancy is GS-11. Physical Requirements: The work requires regular and recurrent sitting, standing, walking, reaching and bending. Occasionally lifts heavy containers of supplies or equipment.",[],[],[],{},[],section9_not_llm_validated,
Software Engineer,Software Engineer,"This is a Software Engineer role with Mercor based in Sydney, NSW, Australia  Mercor  Role Seniority - junior, mid level, senior More about the Software Engineer role at Mercor Mercor is hiring experienced Software Engineering professionals to support a variety of high-impact research collaborations with leading AI labs. Freelancers will help improve AI systems through work on code validation, prompt refinement, algorithmic evaluation, and model benchmarking. This is a unique opportunity to app…","['python', 'aws', 'kubernetes', 'nlp', 'openai']","['python', 'nlp', 'openai']","['aws', 'kubernetes']",{},"['python', 'nlp', 'openai']",llm_validated_with_rescue,0.6
Data Scientist,Data Scientist,"Data Scientist As an experienced Data Scientist you will be an inegral part of our team responsible for building,delivering and developing advanced data analytics products. Utilising your data analysis, statistical modelling, and machine learning techniques to apply, deploy and visualise solutions to complex business problems. Collaborating with key stakeholders you will leverage your analytical skills to indetify, build and understand the scope and impact of requirements and challanges, to dev…","['aws', 'r', 'azure']","['aws', 'r']",['azure'],{},"['aws', 'r', 'azure']",llm_validated_with_rescue,0.6666666666666666
Data Scientist,Data Scientist,"Are you ready to turn data into action and make a tangible impact? We’re looking for a skilled and driven Revenue & Debt Data Scientist to join a dynamic Credit Risk function. This is a unique opportunity to work at the forefront of credit risk analytics, helping shape smarter collections strategies, reduce bad debt, and improve outcomes for customers.In this pivotal role, you’ll lead deep-dive analysis into customer portfolio trends, build predictive models, and support the transition to an en…","['nlp', 'aws', 'computer vision', 'python']","['nlp', 'python']","['aws', 'computer vision']",{},"['nlp', 'python']",llm_validated_with_rescue,0.5
Generative AI Engineer with Security Clearance,AI Engineer,"Role: Software Engineer - Genrative AI Location: Onsite - D.C Area Clearance Required: Active DoD Secret or Top Secret Salary: $200k-$250k Overview: A rapidly growing Generative AI platform supporting government and commercial teams is seeking a Generative AI Software Engineer to work closely with clients on-site. This role involves building AI agents and plugins, guiding full-scale deployments, and delivering mission-critical automation solutions. Key Responsibilities: Partner directly with cl…","['azure', 'openai', 'python', 'fine-tuning', 'rag']","['azure', 'openai', 'python', 'fine-tuning']",['rag'],{},"['azure', 'openai', 'python', 'fine-tuning', 'rag']",llm_validated_with_rescue,0.8
Senior Data Engineer,Data Engineer,"Senior Data Engineer (m/w/d) Erfahrung: mindestens 5 Jahre Sprache: Deutsch C1-C2 Standort: flexibel / je nach Unternehmen Anstellung: Vollzeit Über die Position Für ein etabliertes Unternehmen aus dem Bereich Versicherung, Logistik und Handel suche ich als externe Personalberaterin erfahrene Senior Data Engineers (m/w/d) . In dieser Rolle arbeiten Sie eng mit Data Scientists, Analyst*innen und Architecture-Teams zusammen und tragen maßgeblich dazu bei, skalierbare und moderne Datenplattformen …","['gcp', 'aws', 'airflow', 'azure', 'python', 'spark']","['gcp', 'aws', 'python', 'spark']","['airflow', 'azure']",{},"['gcp', 'aws', 'python', 'spark', 'airflow', 'azure']",llm_validated_with_rescue,0.6666666666666666
"AI Research Software Engineer Senior (hybrid, Orlando, Secret)",Software Engineer,"Job ID: 716663BR Date posted: Feb. 02, 2026 Description: Are you ready to unlock the full potential of Artificial Intelligence and be part of a team that's revolutionizing the industry? Look no further! The Lockheed Martin Artificial Intelligence Center (LAIC) team is seeking a high energy, highly motivated, and experienced individual to join our Applied AI team, specifically the Cognitive Modules portfolio. As a key member of our team, you'll have the opportunity to work on a wide range of pro…","['aws', 'python', 'kubernetes', 'nlp', 'azure', 'r']","['aws', 'python', 'kubernetes', 'nlp']","['azure', 'r']",{},"['aws', 'python', 'kubernetes', 'nlp']",llm_validated_with_rescue,0.6666666666666666
AI Researcher,Research Scientist,"Perplexity is seeking top-tier AI Research Scientists and Engineers to advance our AI products and capabilities. We're building the future of AI-powered search and agent experiences through our Sonar models, Deep Research Agent, Comet Agent, and Search products. Join us in creating SOTA experiences that handle hundreds of millions of queries and continue to scale rapidly. Team Structure Depending on your interests and expertise, you'll work on one of three specialized teams: 1. Core Research Te…","['rag', 'computer vision', 'transformers', 'openai']",['transformers'],"['computer vision', 'openai', 'rag']",{},"['transformers', 'rag', 'openai']",llm_validated_with_rescue,0.25
"Senior Software Engineer, Core Open-Source- Weights & Biases",Software Engineer,"CoreWeave is The Essential Cloud for AI™. Built for pioneers by pioneers, CoreWeave delivers a platform of technology, tools, and teams that enables innovators to build and scale AI with confidence. Trusted by leading AI labs, startups, and global enterprises, CoreWeave combines superior infrastructure performance with deep technical expertise to accelerate breakthroughs and turn compute into capability. Founded in 2017, CoreWeave became a publicly traded company (Nasdaq: CRWV) in March 2025. L…","['kubernetes', 'aws', 'spark', 'computer vision']","['kubernetes', 'aws', 'spark', 'computer vision']",[],{},"['kubernetes', 'aws', 'spark', 'computer vision']",llm_validated_with_rescue,1.0
"Member of Technical Staff, Data",Data Scientist,"Plus10 is a technical recruitment agency with a focus on Engineering and Product professionals that build web applications using a modern stack. Plus10 recruiters are knowledge stewards that open doors for individuals looking to progress their career. We are working hand-in-hand with the following client to help find a Member of Technical Staff, Data The client is a non-profit organization building an autonomous AI Physicist designed to advance humanity's understanding of the fundamental laws o…","['computer vision', 'r', 'nlp', 'python', 'azure']","['computer vision', 'r', 'python']","['azure', 'nlp']",{},"['computer vision', 'r', 'python']",llm_validated_with_rescue,0.6
"Tech Lead, Android Core Product - Hanover, Germany",Software Engineer,"The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify’s text-to-speech products to turn whatever they’re reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify’s text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple nam…",[],[],[],{},[],section9_not_llm_validated,
AI Engineer,AI Engineer,"At Solve Intelligence , we aren’t just ""using"" AI - we are building the proprietary algorithms that define the future of Intellectual Property. We have real paying users, massive traction, and a mission to build a billion-dollar company. ️ The Role: AI Engineer We are looking for a super-talented engineer to help us build state-of-the-art AI products extremely fast . You will lead the development of algorithms that push the envelope of what is possible with LLMs. What you’ll own: Production-Rea…","['rag', 'nlp', 'fine-tuning', 'computer vision', 'python']","['nlp', 'fine-tuning', 'python']","['computer vision', 'rag']",{},"['nlp', 'fine-tuning', 'python', 'rag']",llm_validated_with_rescue,0.6
MLOps Developer,MLOps Engineer,"This role is part of our Automated Vision Systems product line. For more information about our product line: https://www.pavemetrics.com/ Within a multidisciplinary Agile team, the ML/AI Developer is responsible for the production deployment, maintenance, and operationalization of artificial intelligence models used in our cutting-edge 3D vision solutions. The role focuses on integrating models into hybrid environments (cloud and embedded devices), building robust pipelines, and automating the …","['r', 'aws', 'python', 'docker', 'azure']","['aws', 'python', 'docker']","['azure', 'r']",{},"['aws', 'python', 'docker', 'azure']",llm_validated_with_rescue,0.6
Staff AI Engineer,AI Engineer,"Job Description The Role: The Staff AI Engineer is responsible for supporting and reinforcing the adoption of AI Software Engineering across the MFG IT organization with the goal of establishing significant improvements in the Manufacturing space relative to manufacturing productivity/efficiency. The Staff AI Engineer will drive the identification, evaluation, and adoption of rapid iterative and incremental computer vision, machine learning, and deep learning software solutions together with Ju…",['computer vision'],[],[],{},['computer vision'],original,0.0
Staff Machine Learning Engineer - Data Intelligence,Machine Learning Engineer,"Join us on our mission to make a better world of work. Culture Amp is the world’s leading employee experience platform, revolutionizing how 25 million employees across more than 6,500 companies create a better world of work. Culture Amp empowers companies of all sizes and industries to transform employee engagement, drive performance management, and develop high-performing teams. Powered by people science and the most comprehensive employee dataset in the world, the most innovative companies in…","['computer vision', 'nlp', 'python', 'rag']","['nlp', 'python']","['computer vision', 'rag']",{},"['nlp', 'python']",llm_validated_with_rescue,0.5
Temporary Online Course Developer - Machine Learning Engineering and MLOps,MLOps Engineer,"Location: Remote (U.S.-based only) Division: Rabb School of Continuing Studies, Brandeis University Compensation: $3,000 (Approx. 65 hours over 12 weeks) Brandeis University’s Rabb School of Continuing Studies is seeking a skilled online course developer to design and build a new three credit asynchronous online course titled: Temporary Online Course Developer - Machine Learning Engineering and MLOps. This role is for an experienced academic and curriculum strategist to serve as an Online Cours…",[],[],[],{},[],section9_not_llm_validated,
"Senior Manager, Data Science - AI Foundations",Data Scientist,"Senior Manager, Data Science - AI Foundations Data is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making. As a Data Scientist at Capital One,…","['rag', 'aws', 'r', 'gcp', 'python']","['aws', 'r', 'python']","['gcp', 'rag']",{},"['aws', 'r', 'python']",llm_validated_with_rescue,0.6
Gen AI – Python Developer,Software Engineer,"Job Title: Gen AI Python Developer Location: Montreal, QC Primary Responsibilities The developer will be working within a machine learning team/squad. The team is working on developing Artificial Intelligence solutions including ML and Gen AI. The candidate should be familiar with python development and prompt engineering. The candidate should be able to work with different Clients/SME's and understand the business requirements of proper python code development. Good candidates should be famili…",['python'],[],[],{},['python'],original,0.0
Senior Infrastructure Engineer - AI/ML,Platform Engineer,"At Mitratech, we are a team of technocrats focused on building world-class products that simplify operations in the Legal, Risk, Compliance, and HR functions. We are a close-knit, globally dispersed team that thrives in an ecosystem that supports individual excellence and takes pride in its diverse and inclusive work culture centered around great people practices, learning opportunities, and having fun! Our culture is the ideal blend of entrepreneurial spirit and enterprise investment, enabling…","['azure', 'aws', 'python', 'openai', 'kubernetes']","['aws', 'python', 'kubernetes']","['azure', 'openai']",{},"['aws', 'python', 'kubernetes', 'azure']",llm_validated_with_rescue,0.6
MLOps Engineer,MLOps Engineer,"Salary: £50,000 - 90,000 per year Requirements: Strong Python skills and experience deploying ML models to production Solid understanding of MLOps principles and ML lifecycle management Experience with Docker and Kubernetes Familiarity with cloud platforms (AWS, GCP, or Azure) CI/CD experience (GitHub Actions, GitLab CI, Jenkins, etc.) Experience with SQL and data pipelines Desirable: Experience with ML orchestration tools (e.g., Airflow, Kubeflow, MLflow) Desirable: Knowledge of monitoring too…","['airflow', 'aws', 'azure', 'database management systems', 'docker', 'gcp', 'kubernetes', 'mlflow', 'python']",[],[],{},"['airflow', 'aws', 'azure', 'database management systems', 'docker', 'gcp', 'kubernetes', 'mlflow', 'python']",original,0.0
AI Engineer,AI Engineer,"Job Description The Customer Success Services team needs an AI Engineer that can design, develop, configure, evaluate, monitor and optimize generative AI and agent solutions for Oracle applications, as well as develop innovative solutions to advance the CSS team's operational capabilities and effectiveness. The ideal candidate will create processes, tools, and tests so that CSS can evaluate and optimize AI responses on customer instances at scale. The candidate will develop monetizable services…","['computer vision', 'langchain', 'rag', 'fine-tuning', 'nlp', 'r']","['langchain', 'fine-tuning', 'nlp']","['computer vision', 'r', 'rag']",{},"['langchain', 'fine-tuning', 'nlp', 'rag']",llm_validated_with_rescue,0.5
Clinical Laboratory Scientist,Research Scientist,"Applicants pending the completion of educational or certification/licensure requirements may be referred and tentatively selected but may not be hired until all requirements are met. Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. Education. A bachelor's degree or higher from an accredited college or university. Certification. Candidates must meet one of the certification options below. Generalist certification as an MLS given by ASCP BOC or AMT. Generalist certification as an MT given by ASCP BOR or AMT. Categorical certification or Specialist certification by ASCP or AMT NOTE: Categorical and specialist certifications are not acceptable for CLS Generalist positions or lab sections unrelated to the categorical or specialist certification held. Categorical or specialist certifications are acceptable for higher-graded positions within the relevant lab section or one of the non-section specific assignments (including, Ancillary Testing Coordinator, Education Coordinator, Laboratory Information Manager, Quality Manager, Laboratory Manager, Regional Technical Specialist, National Quality and Compliance Agent, Regional Program Manager, Regional Director, Laboratory Director, or National Quality and Compliance Officer). Exception for Non-Certified. Applicants who do not currently hold valid certification may be hired by VA and actively work toward their certification if they meet one of 4 the routes identified in Appendix A that makes them eligible to take the MLS certification exam through the ASCP BOC or the MLS certification exam through AMT Certification Agency. Non-Certified applicants who otherwise meet the eligibility requirements for licensure may be given a temporary appointment CLS under the authority of 38 U.S.C. § 7405(c)(2). Non-Certified individuals may only provide care under the supervision of a certified CLS at or above the Full Performance Level. Non-certified individuals may only be appointed at the entry level and may not be promoted/converted until certification is obtained. Temporary appointments of non-certified CLS may not be extended beyond 2 years or be converted to a new temporary appointment. Foreign Education. To be creditable, education completed outside the U.S. must be deemed at least equivalent to that gained in a conventional U.S. program by a private organization specializing in the interpretation of foreign educational credentials. Graduates of foreign baccalaureate degree programs meet the educational requirements if they meet either of the following: Foreign transcripts are evaluated by an acceptable evaluation agency, and the degree is found to be equivalent to a NAACLS-approved U.S. clinical laboratory science degree program. OR The applicant submits a letter from ASCP BOC or AMT stating the individual is eligible to take the certification examination. May qualify based on being covered by the Grandfathering Provision as described in the VA Qualification Standard for this occupation (only applicable to current VHA employees who are in this occupation and meet the criteria). Grade Determinations: Clinical Laboratory Scientist, GS-07. Experience. None beyond the basic requirements. Clinical Laboratory Scientist, GS-09. Experience or Education. Candidates at this level must meet one of the criteria below: Experience. 1 year of creditable experience equivalent to the next lower grade. OR Education. Master's degree or 2 academic years of progressively higher-level graduate education in medical technology or a directly related science. Assignment. An individual at this grade level serves as a developmental CLS. Knowledge, Skills, and Abilities. In addition to the experience or education above, the candidate must demonstrate the following KSAs: (a)Knowledge of policies and procedures of clinical laboratory testing. (b)Knowledge of laboratory quality control and quality assurance principles. (c)Knowledge of laboratory equipment and routine maintenance. (d)Ability to work as a team member and effectively complete assignments. (e)Ability to read and interpret written instructions. (f)Ability to accurately perform pre-analytical, analytical, and post-analytical phases of testing. Clinical Laboratory Scientist, GS-11 Experience or Education. Candidates at this level must meet one of the criteria below: Experience. 1 year of creditable experience equivalent to the next lower grade level. OR Education. Must have 3 full years of progressively higher-level graduate education or a Ph.D. or equivalent doctoral degree in medical technology or a directly related science. Knowledge, Skills, and Abilities. In addition to the experience or education above, the candidate must demonstrate the following KSAs: (a)Knowledge of professional clinical laboratory science principles, practices, concepts, and theories that support sound, independent work.(b)Knowledge of laboratory quality control and quality assurance procedures and principles of performance improvement. (c)Skill in informatics, laboratory data flow, and laboratory processes. (d)Ability to maintain, troubleshoot, and repair instrumentation. (e)Ability to use independent technical judgment to analyze and interpret laboratory results. (f)Ability to read, interpret, and apply complex written instructions. (g)Ability to communicate, consult, and interact with other members of the health care team, external relations, customer service, and patient education. Preferred Experience: Preferred experience will be determined by the service for the location in which you apply and will be discussed at the interview. Reference: For more information on this qualification standard, please visit https://www.va.gov/ohrm/QualificationStandards/. The full performance level of this vacancy is GS-11. The actual grade at which an applicant may be selected for this vacancy is in the range of GS-7 to GS-11 . Physical Requirements: Physical aspects associated with work required of this assignment are typical for the occupation, see Duties section for essential job duties of the position. May require standing, lifting, carrying, sitting, stooping, bending, puling, and pushing. May be required to wear personal protective equipment and undergo annual TB screening or testing as conditions of employment. Work Environment: Work is performed in an office/clinic setting with minimal risks that requires normal safety precautions; the area is adequately lighted, heated, and ventilated. However, the work environment requires someone with the ability to handle several tasks at once in sometimes stressful situations.",[],[],[],{},[],section9_not_llm_validated,
"Applied AI, Senior MLOps Engineer - NYC",MLOps Engineer,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life. We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether on-premises or in cloud environments. Our offerings include le Chat, the AI assistant for life and work. …","['transformers', 'aws', 'python', 'docker', 'r']","['aws', 'python']","['docker', 'r', 'transformers']",{},"['aws', 'python', 'docker']",llm_validated_with_rescue,0.4
(Senior) Generative AI Engineer,AI Engineer,"Startdatum Wir suchen Dich ab sofort an einem unserer deutschen Standorte in München, Nürnberg, Leipzig, Berlin, Essen oder Frankfurt am Main ! Deine Aufgaben Data und AI sind Dein zu Hause? Des Weiteren gestaltet sich Deine neue Herausforderung wie folgt: Übernahme der fachlichen Verantwortung für die Betreuung und Entwicklung von Demonstratoren für unser Business Development Aktive Verfolgung aktueller Trends und Entwicklungen im Bereich Generative AI durch kontinuierliche Recherche und das E…","['rag', 'langchain']",['langchain'],['rag'],{},"['langchain', 'rag']",llm_validated_with_rescue,0.5
Senior Machine Learning Engineer,Machine Learning Engineer,"Location : We are flexible! Come and join us either in Hamburg, Berlin, Barcelona or Athens Freenow empowers smarter mobility decisions helping people to move freely and cities to thrive. The Freenow marketplace is a real-time, two-sided platform connecting riders and drivers. Its efficiency and scalability are powered by a sophisticated ecosystem of Machine Learning systems spanning key domains such as Pricing, Allocation, and Marketplace Fraud. In this role, you’ll help advance the state of t…","['kubernetes', 'computer vision']","['kubernetes', 'computer vision']",[],{},"['kubernetes', 'computer vision']",llm_validated_with_rescue,1.0
Coding Specialist (Fluent in German) - Freelance AI Trainer Project,AI Engineer,"Are you a coding expert fluent in German eager to shape the future of AI? Large‑scale language models are evolving from clever chatbots into powerful engines of scientific discovery. With high‑quality training data, tomorrow’s AI can democratize world‑class education, keep pace with cutting‑edge research, and streamline software development for engineers everywhere. That training data begins with you—we need your expertise to help power the next generation of AI. We’re looking for coding specia…","['rag', 'python', 'nlp']","['python', 'nlp']",['rag'],{},"['python', 'nlp']",llm_validated_with_rescue,0.6666666666666666
Lead AI Engineer,AI Engineer,"About Euphoric Euphoric builds AI-first employee benefits administration software for the world’s largest and most prestigious employers. Born out of Peppy Health — a fast-growing, category-defining Series B startup — we spun out in May 2025 to tackle a far bigger opportunity. Global employers spend $3–5 trillion on benefits every year. It’s their second-largest cost after payroll — yet the entire category is still running on legacy systems and outdated assumptions. The space is primed for tran…","['rag', 'python', 'computer vision']","['python', 'computer vision']",['rag'],{},"['python', 'computer vision']",llm_validated_with_rescue,0.6666666666666666
LLM Engineer (Offshore - INTL - India),LLM Engineer,"Job Description Insight Global is seeking an LLM Engineer to join our clients dynamic development team. This role is sitting remotely in India. This individual will enhance and expand a complex application, requiring strong communication skills and full-stack technical expertise. This role involves collaborating with global teams across multiple time zones (IST, UST, and other countries) and actively contributing to ongoing feature development. Key Responsibilities: -Enhance and expand a comple…","['nlp', 'rag', 'transformers', 'openai', 'spark']","['nlp', 'transformers', 'openai']","['rag', 'spark']",{},"['nlp', 'transformers', 'openai', 'rag']",llm_validated_with_rescue,0.6
Applied AI Engineer,AI Engineer,"Warp: We're Building the Platform for Agentic Development Warp began with the vision of reimagining one of the fundamental dev tools—the terminal—to make it more usable and powerful for all developers. As AI has advanced, Warp has evolved beyond its terminal roots into the platform for Agentic Development: a workbench for dispatching agents to code, deploy, and debug production software. With over 700k active developers and revenue that grew over 44x last year, Warp is now one of the fastest gr…","['aws', 'python', 'openai', 'fine-tuning', 'gcp', 'langchain', 'rag']","['aws', 'python', 'openai', 'langchain']","['fine-tuning', 'gcp', 'rag']",{},"['aws', 'python', 'openai', 'langchain', 'fine-tuning', 'gcp', 'rag']",llm_validated_with_rescue,0.5714285714285714
Startup-Full Stack AI Engineer-Build AI Glasses and More!,AI Engineer,"VP of Investor Relations (Remote, TX) — Lead the Narrative for a $1B Energy Innovator Powering Hyperscale Data Centers This Jobot Job is hosted by: John Armel Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $250,000 - $300,000 per year A bit about us: Our client, a leading player in the Energy industry, is seeking an experienced and dynamic professional to join our executive team as the Vice President of Investor Relations. This role is pivotal i…","['rag', 'fine-tuning', 'azure', 'python']",['python'],"['azure', 'fine-tuning', 'rag']",{},['python'],llm_validated_with_rescue,0.25
AI Engineer with Security Clearance,AI Engineer,"Kforce has a client that is seeking an AI Engineer in Chantilly, VA. Responsibilities: * AI Engineer will design, train, fine-tune, and deploy AI/ML models (LLMs, embeddings, classification models, RAG pipelines) * Build secure, scalable APIs and services to integrate AI capabilities into business systems * Design and implement agentic AI workflows that coordinate multiple models or services to achieve mission objectives * Integrate retrieval-augmented generation (RAG) and agentic reasoning int…",['rag'],[],[],{},['rag'],original,0.0
Senior SaaS Cloud Capacity Engineer,DevOps Engineer,"Job Description What You'll Do  Capacity Engineering - Act as a strategic capacity partner, immersing in the end-to-end architecture and performance of SaaS production services. Ensure mission-critical workloads-including emerging agentic AI and MLOps pipelines -are forecasted, scaled, and optimized for OCI cloud capacity at enterprise scale.  Cost Engineering - Translate SaaS capacity architectures into cost models that improve efficiency year over year. Partner with Cost Engineers to drive do…","['azure', 'openai', 'python', 'rag']",['python'],"['azure', 'openai', 'rag']",{},"['python', 'azure', 'openai', 'rag']",llm_validated_with_rescue,0.25
